Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	Timesteps	LearningRate	DeltaStd
3381.0791521072388	10	19.28237442286214	9.546175867960368	33.676427282365225	-10.56852453051878	11867	0.019800897604194966	0.029701346406292437
6717.330669403076	20	22.08048349218211	11.244721333244387	34.43528453578401	-9.552599772564879	22424	0.019603777296590692	0.029405665944886035
10074.364431619644	30	20.472663898034714	13.626943702736401	33.43520748067809	-16.601752899522793	33114	0.01940861934526171	0.02911292901789256
13333.280536651611	40	16.987832227765452	14.80887115639854	33.21991038030705	-28.78893820534381	43594	0.01921540421471623	0.028823106322074347
16649.656021118164	50	17.41766058583616	13.009298648402435	32.019466723474714	-12.20413561799838	54399	0.01902411256394062	0.028536168845910936
19959.368383169174	60	19.4123030967097	13.411557302263784	34.08040796013981	-11.364055146142794	65020	0.018834725244463356	0.02825208786669504
23260.872073173523	70	10.413525475915694	14.242396792354205	33.28279046739336	-14.11806503272824	75585	0.018647223298438244	0.02797083494765737
26586.20476746559	80	14.569677009983613	16.878163554048122	33.91732720910303	-22.87307961259974	86302	0.018461587956746718	0.02769238193512008
29947.703352451324	90	12.775089540062325	16.16040436945871	35.21772599349047	-17.507052095140775	96965	0.01827780063711903	0.02741670095567855
33462.91309285164	100	4.182398327277619	11.748881438600181	32.95824700405847	-10.590414161727965	107613	0.01809584294227417	0.027143764413411257
37044.325439453125	110	0.8564147148762196	5.296329377424257	11.572963490828817	-10.42852229472967	117976	0.017915696658078243	0.026873544987117377
